ppc,
paid search,
paid social,
google ads,
search engine marketing,
manage monthly budget of $XX,
account optimization,
keyword/audience research,
reduced CPA/CPL,
implementing digital marketing strategies,
create report,
bing ads,
facebook ads,
linkedin ads,
excel / spreadsheet,
powerpoint,
ms word,
twitter ads,
google analytics,
hubspot,
salesforce,
google data studio,
google tag manager,
kensho,
seo,
unbounce,
web design,
landing page optimization,
instapage,
