Python,
Java,
Linux,
Unix,
Troubleshooting/debugging,
Software development,
Communication,
Teamwork,
C++,
C,
Go,
Javascript,
HTML,
CSS,
Pandas,
SQL,
Web application development,
Database,
Embedded Networking,
Computer Security,
OS Development,
Test & Quality,
Distributed and parallel systems,
Machine Learning,
TensorFlow,
